Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Transport,Railway,Railway,"7,582.40",Albury,Riverina Murray,Regional,10050
2016,1,Transport,Railway,Railway,"5,682.00",Armidale Regional,New England North West,Regional,10130
2016,1,Transport,Railway,Railway,,Ballina,North Coast,Regional,10250
2016,1,Transport,Railway,Railway,,Balranald,Far West,Regional,10300
2016,1,Transport,Railway,Railway,,Bathurst Regional,Central West and Orana,Regional,10470
2016,1,Transport,Railway,Railway,"2,523.60",Bayside,Eastern Harbour City,Six Cities,10500
2016,1,Transport,Railway,Railway,,Bega Valley,South East and Tablelands,Regional,10550
2016,1,Transport,Railway,Railway,,Bellingen,North Coast,Regional,10600
2016,1,Transport,Railway,Railway,,Berrigan,Riverina Murray,Regional,10650
2016,1,Transport,Railway,Railway,"2,725.90",Blacktown,Central River City,Six Cities,10750
2016,1,Transport,Railway,Railway,,Bland,Riverina Murray,Regional,10800
2016,1,Transport,Railway,Railway,,Blayney,Central West and Orana,Regional,10850
2016,1,Transport,Railway,Railway,"14,460.40",Blue Mountains,Western Parkland City,Six Cities,10900
2016,1,Transport,Railway,Railway,,Bogan,Central West and Orana,Regional,10950
2016,1,Transport,Railway,Railway,,Bourke,Far West,Regional,11150
2016,1,Transport,Railway,Railway,,Brewarrina,Far West,Regional,11200
2016,1,Transport,Railway,Railway,"49,334.10",Broken Hill,Far West,Regional,11250
2016,1,Transport,Railway,Railway,111.3,Burwood,Eastern Harbour City,Six Cities,11300
2016,1,Transport,Railway,Railway,,Byron,North Coast,Regional,11350
2016,1,Transport,Railway,Railway,,Cabonne,Central West and Orana,Regional,11400
2016,1,Transport,Railway,Railway,,Camden,Western Parkland City,Six Cities,11450
2016,1,Transport,Railway,Railway,"6,603.00",Campbelltown,Western Parkland City,Six Cities,11500
2016,1,Transport,Railway,Railway,691.8,Canada Bay,Eastern Harbour City,Six Cities,11520
2016,1,Transport,Railway,Railway,"5,214.20",Canterbury-Bankstown,Central River City,Six Cities,11570
2016,1,Transport,Railway,Railway,,Carrathool,Riverina Murray,Regional,11600
2016,1,Transport,Railway,Railway,"12,465.50",Central Coast,Central Coast City,Six Cities,11650
2016,1,Transport,Railway,Railway,,Central Darling,Far West,Regional,11700
2016,1,Transport,Railway,Railway,"29,657.80",Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2016,1,Transport,Railway,Railway,"14,995.70",Clarence Valley,North Coast,Regional,11730
2016,1,Transport,Railway,Railway,,Cobar,Far West,Regional,11750
2016,1,Transport,Railway,Railway,,Coffs Harbour,North Coast,Regional,11800
2016,1,Transport,Railway,Railway,,Coolamon,Riverina Murray,Regional,12000
2016,1,Transport,Railway,Railway,,Coonamble,Central West and Orana,Regional,12150
2016,1,Transport,Railway,Railway,"8,466.20",Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2016,1,Transport,Railway,Railway,,Cowra,Central West and Orana,Regional,12350
2016,1,Transport,Railway,Railway,"4,228.60",Cumberland,Central River City,Six Cities,12380
2016,1,Transport,Railway,Railway,827.8,Dubbo Regional,Central West and Orana,Regional,12390
2016,1,Transport,Railway,Railway,"7,892.00",Dungog,Upper Hunter,Regional,12700
2016,1,Transport,Railway,Railway,,Edward River,Riverina Murray,Regional,12730
2016,1,Transport,Railway,Railway,,Eurobodalla,South East and Tablelands,Regional,12750
2016,1,Transport,Railway,Railway,"1,962.40",Fairfield,Western Parkland City,Six Cities,12850
2016,1,Transport,Railway,Railway,,Federation,Riverina Murray,Regional,12870
2016,1,Transport,Railway,Railway,,Forbes,Central West and Orana,Regional,12900
2016,1,Transport,Railway,Railway,"1,518.00",Georges River,Central River City,Six Cities,12930
2016,1,Transport,Railway,Railway,"6,118.40",Gilgandra,Central West and Orana,Regional,12950
2016,1,Transport,Railway,Railway,,Glen Innes Severn,New England North West,Regional,13010
2016,1,Transport,Railway,Railway,,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2016,1,Transport,Railway,Railway,,Greater Hume Shire,Riverina Murray,Regional,13340
2016,1,Transport,Railway,Railway,,Griffith,Riverina Murray,Regional,13450
2016,1,Transport,Railway,Railway,"42,083.90",Gunnedah,New England North West,Regional,13550
2016,1,Transport,Railway,Railway,47.3,Gwydir,New England North West,Regional,13660
2016,1,Transport,Railway,Railway,,Hawkesbury,Western Parkland City,Six Cities,13800
2016,1,Transport,Railway,Railway,,Hay,Riverina Murray,Regional,13850
2016,1,Transport,Railway,Railway,,Hilltops,South East and Tablelands,Regional,13910
2016,1,Transport,Railway,Railway,"8,131.20",Hornsby,Eastern Harbour City,Six Cities,14000
2016,1,Transport,Railway,Railway,,Hunters Hill,Eastern Harbour City,Six Cities,14100
2016,1,Transport,Railway,Railway,"1,963.80",Inner West,Eastern Harbour City,Six Cities,14170
2016,1,Transport,Railway,Railway,,Inverell,New England North West,Regional,14200
2016,1,Transport,Railway,Railway,"3,858.90",Junee,Riverina Murray,Regional,14300
2016,1,Transport,Railway,Railway,,Kempsey,North Coast,Regional,14350
2016,1,Transport,Railway,Railway,"1,196.20",Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2016,1,Transport,Railway,Railway,,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2016,1,Transport,Railway,Railway,,Kyogle,North Coast,Regional,14550
2016,1,Transport,Railway,Railway,,Lachlan,Central West and Orana,Regional,14600
2016,1,Transport,Railway,Railway,"11,066.00",Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2016,1,Transport,Railway,Railway,,Lane Cove,Eastern Harbour City,Six Cities,14700
2016,1,Transport,Railway,Railway,,Leeton,Riverina Murray,Regional,14750
2016,1,Transport,Railway,Railway,,Lismore,North Coast,Regional,14850
2016,1,Transport,Railway,Railway,"9,616.40",Lithgow,Central West and Orana,Regional,14870
2016,1,Transport,Railway,Railway,"2,147.40",Liverpool,Western Parkland City,Six Cities,14900
2016,1,Transport,Railway,Railway,,Liverpool Plains,New England North West,Regional,14920
2016,1,Transport,Railway,Railway,"15,164.80",Lockhart,Riverina Murray,Regional,14950
2016,1,Transport,Railway,Railway,"114,282.30",Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2016,1,Transport,Railway,Railway,"24,081.80",Mid-Coast,Upper Hunter,Regional,15240
2016,1,Transport,Railway,Railway,"49,215.80",Mid-Western Regional,Central West and Orana,Regional,15270
2016,1,Transport,Railway,Railway,,Moree Plains,New England North West,Regional,15300
2016,1,Transport,Railway,Railway,,Mosman,Eastern Harbour City,Six Cities,15350
2016,1,Transport,Railway,Railway,,Murray River,Riverina Murray,Regional,15520
2016,1,Transport,Railway,Railway,,Murrumbidgee,Riverina Murray,Regional,15560
2016,1,Transport,Railway,Railway,"70,343.50",Muswellbrook,Upper Hunter,Regional,15650
2016,1,Transport,Railway,Railway,,Nambucca,North Coast,Regional,15700
2016,1,Transport,Railway,Railway,"7,357.30",Narrabri,New England North West,Regional,15750
2016,1,Transport,Railway,Railway,,Narrandera,Riverina Murray,Regional,15800
2016,1,Transport,Railway,Railway,827.8,Narromine,Central West and Orana,Regional,15850
2016,1,Transport,Railway,Railway,"75,191.30",Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2016,1,Transport,Railway,Railway,,North Sydney,Eastern Harbour City,Six Cities,15950
2016,1,Transport,Railway,Railway,,Northern Beaches,Eastern Harbour City,Six Cities,15990
2016,1,Transport,Railway,Railway,,Oberon,Central West and Orana,Regional,16100
2016,1,Transport,Railway,Railway,,Orange,Central West and Orana,Regional,16150
2016,1,Transport,Railway,Railway,"24,744.50",Parkes,Central West and Orana,Regional,16200
2016,1,Transport,Railway,Railway,,Parramatta,Central River City,Six Cities,16260
2016,1,Transport,Railway,Railway,"2,725.70",Penrith,Western Parkland City,Six Cities,16350
2016,1,Transport,Railway,Railway,,Port Macquarie-Hastings,North Coast,Regional,16380
2016,1,Transport,Railway,Railway,,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2016,1,Transport,Railway,Railway,,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2016,1,Transport,Railway,Railway,,Randwick,Eastern Harbour City,Six Cities,16550
2016,1,Transport,Railway,Railway,"4,255.30",Richmond Valley,North Coast,Regional,16610
2016,1,Transport,Railway,Railway,981.1,Ryde,Eastern Harbour City,Six Cities,16700
2016,1,Transport,Railway,Railway,"1,844.90",Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2016,1,Transport,Railway,Railway,,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2016,1,Transport,Railway,Railway,"162,149.70",Singleton,Upper Hunter,Regional,17000
2016,1,Transport,Railway,Railway,,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2016,1,Transport,Railway,Railway,,Snowy Valleys,Riverina Murray,Regional,17080
2016,1,Transport,Railway,Railway,"1,245.50",Strathfield,Eastern Harbour City,Six Cities,17100
2016,1,Transport,Railway,Railway,"3,145.70",Sutherland Shire,Central River City,Six Cities,17150
2016,1,Transport,Railway,Railway,329.9,Sydney,Eastern Harbour City,Six Cities,17200
2016,1,Transport,Railway,Railway,,Tamworth Regional,New England North West,Regional,17310
2016,1,Transport,Railway,Railway,,Temora,Riverina Murray,Regional,17350
2016,1,Transport,Railway,Railway,,Tenterfield,New England North West,Regional,17400
2016,1,Transport,Railway,Railway,,The Hills Shire,Central River City,Six Cities,17420
2016,1,Transport,Railway,Railway,,Tweed,North Coast,Regional,17550
2016,1,Transport,Railway,Railway,"1,032.80",Unincorporated NSW,Far West,Regional,19399
2016,1,Transport,Railway,Railway,"2,563.10",Upper Hunter Shire,Upper Hunter,Regional,17620
2016,1,Transport,Railway,Railway,,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2016,1,Transport,Railway,Railway,,Uralla,New England North West,Regional,17650
2016,1,Transport,Railway,Railway,,Wagga Wagga,Riverina Murray,Regional,17750
2016,1,Transport,Railway,Railway,,Walcha,New England North West,Regional,17850
2016,1,Transport,Railway,Railway,,Walgett,Far West,Regional,17900
2016,1,Transport,Railway,Railway,"24,667.10",Warren,Central West and Orana,Regional,17950
2016,1,Transport,Railway,Railway,223.6,Warrumbungle Shire,Central West and Orana,Regional,18020
2016,1,Transport,Railway,Railway,,Waverley,Eastern Harbour City,Six Cities,18050
2016,1,Transport,Railway,Railway,,Weddin,Central West and Orana,Regional,18100
2016,1,Transport,Railway,Railway,,Wentworth,Far West,Regional,18200
2016,1,Transport,Railway,Railway,,Willoughby,Eastern Harbour City,Six Cities,18250
2016,1,Transport,Railway,Railway,"35,565.30",Wingecarribee,South East and Tablelands,Regional,18350
2016,1,Transport,Railway,Railway,"15,256.70",Wollondilly,Western Parkland City,Six Cities,18400
2016,1,Transport,Railway,Railway,"17,027.90",Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2016,1,Transport,Railway,Railway,,Woollahra,Eastern Harbour City,Six Cities,18500
2016,1,Transport,Railway,Railway,,Yass Valley,South East and Tablelands,Regional,18710
2017,1,Transport,Railway,Railway,"6,947.30",Albury,Riverina Murray,Regional,10050
2017,1,Transport,Railway,Railway,"5,201.80",Armidale Regional,New England North West,Regional,10130
2017,1,Transport,Railway,Railway,,Ballina,North Coast,Regional,10250
2017,1,Transport,Railway,Railway,,Balranald,Far West,Regional,10300
2017,1,Transport,Railway,Railway,,Bathurst Regional,Central West and Orana,Regional,10470
2017,1,Transport,Railway,Railway,"2,329.30",Bayside,Eastern Harbour City,Six Cities,10500
2017,1,Transport,Railway,Railway,,Bega Valley,South East and Tablelands,Regional,10550
2017,1,Transport,Railway,Railway,,Bellingen,North Coast,Regional,10600
2017,1,Transport,Railway,Railway,,Berrigan,Riverina Murray,Regional,10650
2017,1,Transport,Railway,Railway,"2,508.40",Blacktown,Central River City,Six Cities,10750
2017,1,Transport,Railway,Railway,,Bland,Riverina Murray,Regional,10800
2017,1,Transport,Railway,Railway,,Blayney,Central West and Orana,Regional,10850
2017,1,Transport,Railway,Railway,"13,306.40",Blue Mountains,Western Parkland City,Six Cities,10900
2017,1,Transport,Railway,Railway,,Bogan,Central West and Orana,Regional,10950
2017,1,Transport,Railway,Railway,,Bourke,Far West,Regional,11150
2017,1,Transport,Railway,Railway,,Brewarrina,Far West,Regional,11200
2017,1,Transport,Railway,Railway,"45,269.30",Broken Hill,Far West,Regional,11250
2017,1,Transport,Railway,Railway,94.8,Burwood,Eastern Harbour City,Six Cities,11300
2017,1,Transport,Railway,Railway,,Byron,North Coast,Regional,11350
2017,1,Transport,Railway,Railway,,Cabonne,Central West and Orana,Regional,11400
2017,1,Transport,Railway,Railway,,Camden,Western Parkland City,Six Cities,11450
2017,1,Transport,Railway,Railway,"5,993.90",Campbelltown,Western Parkland City,Six Cities,11500
2017,1,Transport,Railway,Railway,632.8,Canada Bay,Eastern Harbour City,Six Cities,11520
2017,1,Transport,Railway,Railway,"4,785.50",Canterbury-Bankstown,Central River City,Six Cities,11570
2017,1,Transport,Railway,Railway,,Carrathool,Riverina Murray,Regional,11600
2017,1,Transport,Railway,Railway,"11,402.40",Central Coast,Central Coast City,Six Cities,11650
2017,1,Transport,Railway,Railway,,Central Darling,Far West,Regional,11700
2017,1,Transport,Railway,Railway,"27,438.60",Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2017,1,Transport,Railway,Railway,"13,746.90",Clarence Valley,North Coast,Regional,11730
2017,1,Transport,Railway,Railway,,Cobar,Far West,Regional,11750
2017,1,Transport,Railway,Railway,,Coffs Harbour,North Coast,Regional,11800
2017,1,Transport,Railway,Railway,,Coolamon,Riverina Murray,Regional,12000
2017,1,Transport,Railway,Railway,,Coonamble,Central West and Orana,Regional,12150
2017,1,Transport,Railway,Railway,"7,755.20",Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2017,1,Transport,Railway,Railway,,Cowra,Central West and Orana,Regional,12350
2017,1,Transport,Railway,Railway,"3,895.50",Cumberland,Central River City,Six Cities,12380
2017,1,Transport,Railway,Railway,757.2,Dubbo Regional,Central West and Orana,Regional,12390
2017,1,Transport,Railway,Railway,"7,160.70",Dungog,Upper Hunter,Regional,12700
2017,1,Transport,Railway,Railway,,Edward River,Riverina Murray,Regional,12730
2017,1,Transport,Railway,Railway,,Eurobodalla,South East and Tablelands,Regional,12750
2017,1,Transport,Railway,Railway,"1,816.50",Fairfield,Western Parkland City,Six Cities,12850
2017,1,Transport,Railway,Railway,,Federation,Riverina Murray,Regional,12870
2017,1,Transport,Railway,Railway,,Forbes,Central West and Orana,Regional,12900
2017,1,Transport,Railway,Railway,"1,386.20",Georges River,Central River City,Six Cities,12930
2017,1,Transport,Railway,Railway,"5,597.10",Gilgandra,Central West and Orana,Regional,12950
2017,1,Transport,Railway,Railway,,Glen Innes Severn,New England North West,Regional,13010
2017,1,Transport,Railway,Railway,,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2017,1,Transport,Railway,Railway,,Greater Hume Shire,Riverina Murray,Regional,13340
2017,1,Transport,Railway,Railway,,Griffith,Riverina Murray,Regional,13450
2017,1,Transport,Railway,Railway,"38,497.60",Gunnedah,New England North West,Regional,13550
2017,1,Transport,Railway,Railway,43.2,Gwydir,New England North West,Regional,13660
2017,1,Transport,Railway,Railway,,Hawkesbury,Western Parkland City,Six Cities,13800
2017,1,Transport,Railway,Railway,,Hay,Riverina Murray,Regional,13850
2017,1,Transport,Railway,Railway,,Hilltops,South East and Tablelands,Regional,13910
2017,1,Transport,Railway,Railway,"7,436.60",Hornsby,Eastern Harbour City,Six Cities,14000
2017,1,Transport,Railway,Railway,,Hunters Hill,Eastern Harbour City,Six Cities,14100
2017,1,Transport,Railway,Railway,"1,783.00",Inner West,Eastern Harbour City,Six Cities,14170
2017,1,Transport,Railway,Railway,,Inverell,New England North West,Regional,14200
2017,1,Transport,Railway,Railway,"3,536.50",Junee,Riverina Murray,Regional,14300
2017,1,Transport,Railway,Railway,,Kempsey,North Coast,Regional,14350
2017,1,Transport,Railway,Railway,"1,099.70",Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2017,1,Transport,Railway,Railway,,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2017,1,Transport,Railway,Railway,,Kyogle,North Coast,Regional,14550
2017,1,Transport,Railway,Railway,,Lachlan,Central West and Orana,Regional,14600
2017,1,Transport,Railway,Railway,"10,136.90",Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2017,1,Transport,Railway,Railway,,Lane Cove,Eastern Harbour City,Six Cities,14700
2017,1,Transport,Railway,Railway,,Leeton,Riverina Murray,Regional,14750
2017,1,Transport,Railway,Railway,,Lismore,North Coast,Regional,14850
2017,1,Transport,Railway,Railway,"8,824.60",Lithgow,Central West and Orana,Regional,14870
2017,1,Transport,Railway,Railway,"1,967.40",Liverpool,Western Parkland City,Six Cities,14900
2017,1,Transport,Railway,Railway,,Liverpool Plains,New England North West,Regional,14920
2017,1,Transport,Railway,Railway,"13,894.60",Lockhart,Riverina Murray,Regional,14950
2017,1,Transport,Railway,Railway,"105,205.00",Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2017,1,Transport,Railway,Railway,"22,042.80",Mid-Coast,Upper Hunter,Regional,15240
2017,1,Transport,Railway,Railway,"45,188.10",Mid-Western Regional,Central West and Orana,Regional,15270
2017,1,Transport,Railway,Railway,,Moree Plains,New England North West,Regional,15300
2017,1,Transport,Railway,Railway,,Mosman,Eastern Harbour City,Six Cities,15350
2017,1,Transport,Railway,Railway,,Murray River,Riverina Murray,Regional,15520
2017,1,Transport,Railway,Railway,,Murrumbidgee,Riverina Murray,Regional,15560
2017,1,Transport,Railway,Railway,"65,045.60",Muswellbrook,Upper Hunter,Regional,15650
2017,1,Transport,Railway,Railway,,Nambucca,North Coast,Regional,15700
2017,1,Transport,Railway,Railway,"6,782.60",Narrabri,New England North West,Regional,15750
2017,1,Transport,Railway,Railway,,Narrandera,Riverina Murray,Regional,15800
2017,1,Transport,Railway,Railway,757.2,Narromine,Central West and Orana,Regional,15850
2017,1,Transport,Railway,Railway,"69,336.40",Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2017,1,Transport,Railway,Railway,,North Sydney,Eastern Harbour City,Six Cities,15950
2017,1,Transport,Railway,Railway,,Northern Beaches,Eastern Harbour City,Six Cities,15990
2017,1,Transport,Railway,Railway,,Oberon,Central West and Orana,Regional,16100
2017,1,Transport,Railway,Railway,,Orange,Central West and Orana,Regional,16150
2017,1,Transport,Railway,Railway,"22,705.60",Parkes,Central West and Orana,Regional,16200
2017,1,Transport,Railway,Railway,,Parramatta,Central River City,Six Cities,16260
2017,1,Transport,Railway,Railway,"2,508.20",Penrith,Western Parkland City,Six Cities,16350
2017,1,Transport,Railway,Railway,,Port Macquarie-Hastings,North Coast,Regional,16380
2017,1,Transport,Railway,Railway,,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2017,1,Transport,Railway,Railway,,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2017,1,Transport,Railway,Railway,,Randwick,Eastern Harbour City,Six Cities,16550
2017,1,Transport,Railway,Railway,"3,899.70",Richmond Valley,North Coast,Regional,16610
2017,1,Transport,Railway,Railway,897.4,Ryde,Eastern Harbour City,Six Cities,16700
2017,1,Transport,Railway,Railway,"1,707.70",Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2017,1,Transport,Railway,Railway,,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2017,1,Transport,Railway,Railway,"149,766.00",Singleton,Upper Hunter,Regional,17000
2017,1,Transport,Railway,Railway,,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2017,1,Transport,Railway,Railway,,Snowy Valleys,Riverina Murray,Regional,17080
2017,1,Transport,Railway,Railway,"1,145.40",Strathfield,Eastern Harbour City,Six Cities,17100
2017,1,Transport,Railway,Railway,"2,911.80",Sutherland Shire,Central River City,Six Cities,17150
2017,1,Transport,Railway,Railway,281,Sydney,Eastern Harbour City,Six Cities,17200
2017,1,Transport,Railway,Railway,,Tamworth Regional,New England North West,Regional,17310
2017,1,Transport,Railway,Railway,,Temora,Riverina Murray,Regional,17350
2017,1,Transport,Railway,Railway,,Tenterfield,New England North West,Regional,17400
2017,1,Transport,Railway,Railway,,The Hills Shire,Central River City,Six Cities,17420
2017,1,Transport,Railway,Railway,,Tweed,North Coast,Regional,17550
2017,1,Transport,Railway,Railway,951.1,Unincorporated NSW,Far West,Regional,19399
2017,1,Transport,Railway,Railway,"2,351.00",Upper Hunter Shire,Upper Hunter,Regional,17620
2017,1,Transport,Railway,Railway,,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2017,1,Transport,Railway,Railway,,Uralla,New England North West,Regional,17650
2017,1,Transport,Railway,Railway,,Wagga Wagga,Riverina Murray,Regional,17750
2017,1,Transport,Railway,Railway,,Walcha,New England North West,Regional,17850
2017,1,Transport,Railway,Railway,,Walgett,Far West,Regional,17900
2017,1,Transport,Railway,Railway,"22,634.70",Warren,Central West and Orana,Regional,17950
2017,1,Transport,Railway,Railway,204.5,Warrumbungle Shire,Central West and Orana,Regional,18020
2017,1,Transport,Railway,Railway,,Waverley,Eastern Harbour City,Six Cities,18050
2017,1,Transport,Railway,Railway,,Weddin,Central West and Orana,Regional,18100
2017,1,Transport,Railway,Railway,,Wentworth,Far West,Regional,18200
2017,1,Transport,Railway,Railway,,Willoughby,Eastern Harbour City,Six Cities,18250
2017,1,Transport,Railway,Railway,"32,384.30",Wingecarribee,South East and Tablelands,Regional,18350
2017,1,Transport,Railway,Railway,"13,737.00",Wollondilly,Western Parkland City,Six Cities,18400
2017,1,Transport,Railway,Railway,"15,733.00",Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2017,1,Transport,Railway,Railway,,Woollahra,Eastern Harbour City,Six Cities,18500
2017,1,Transport,Railway,Railway,,Yass Valley,South East and Tablelands,Regional,18710
2018,1,Transport,Railway,Railway,"6,702.10",Albury,Riverina Murray,Regional,10050
2018,1,Transport,Railway,Railway,"5,024.70",Armidale Regional,New England North West,Regional,10130
2018,1,Transport,Railway,Railway,,Ballina,North Coast,Regional,10250
2018,1,Transport,Railway,Railway,,Balranald,Far West,Regional,10300
2018,1,Transport,Railway,Railway,,Bathurst Regional,Central West and Orana,Regional,10470
2018,1,Transport,Railway,Railway,"2,221.30",Bayside,Eastern Harbour City,Six Cities,10500
2018,1,Transport,Railway,Railway,,Bega Valley,South East and Tablelands,Regional,10550
2018,1,Transport,Railway,Railway,,Bellingen,North Coast,Regional,10600
2018,1,Transport,Railway,Railway,,Berrigan,Riverina Murray,Regional,10650
2018,1,Transport,Railway,Railway,"2,403.50",Blacktown,Central River City,Six Cities,10750
2018,1,Transport,Railway,Railway,,Bland,Riverina Murray,Regional,10800
2018,1,Transport,Railway,Railway,,Blayney,Central West and Orana,Regional,10850
2018,1,Transport,Railway,Railway,"12,750.40",Blue Mountains,Western Parkland City,Six Cities,10900
2018,1,Transport,Railway,Railway,,Bogan,Central West and Orana,Regional,10950
2018,1,Transport,Railway,Railway,,Bourke,Far West,Regional,11150
2018,1,Transport,Railway,Railway,,Brewarrina,Far West,Regional,11200
2018,1,Transport,Railway,Railway,"43,569.90",Broken Hill,Far West,Regional,11250
2018,1,Transport,Railway,Railway,102.3,Burwood,Eastern Harbour City,Six Cities,11300
2018,1,Transport,Railway,Railway,,Byron,North Coast,Regional,11350
2018,1,Transport,Railway,Railway,,Cabonne,Central West and Orana,Regional,11400
2018,1,Transport,Railway,Railway,,Camden,Western Parkland City,Six Cities,11450
2018,1,Transport,Railway,Railway,"5,867.10",Campbelltown,Western Parkland City,Six Cities,11500
2018,1,Transport,Railway,Railway,612.1,Canada Bay,Eastern Harbour City,Six Cities,11520
2018,1,Transport,Railway,Railway,"4,604.50",Canterbury-Bankstown,Central River City,Six Cities,11570
2018,1,Transport,Railway,Railway,,Carrathool,Riverina Murray,Regional,11600
2018,1,Transport,Railway,Railway,"11,028.70",Central Coast,Central Coast City,Six Cities,11650
2018,1,Transport,Railway,Railway,,Central Darling,Far West,Regional,11700
2018,1,Transport,Railway,Railway,"26,070.00",Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2018,1,Transport,Railway,Railway,"13,250.80",Clarence Valley,North Coast,Regional,11730
2018,1,Transport,Railway,Railway,,Cobar,Far West,Regional,11750
2018,1,Transport,Railway,Railway,,Coffs Harbour,North Coast,Regional,11800
2018,1,Transport,Railway,Railway,,Coolamon,Riverina Murray,Regional,12000
2018,1,Transport,Railway,Railway,,Coonamble,Central West and Orana,Regional,12150
2018,1,Transport,Railway,Railway,"7,484.40",Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2018,1,Transport,Railway,Railway,,Cowra,Central West and Orana,Regional,12350
2018,1,Transport,Railway,Railway,"3,726.10",Cumberland,Central River City,Six Cities,12380
2018,1,Transport,Railway,Railway,732.3,Dubbo Regional,Central West and Orana,Regional,12390
2018,1,Transport,Railway,Railway,"7,014.20",Dungog,Upper Hunter,Regional,12700
2018,1,Transport,Railway,Railway,,Edward River,Riverina Murray,Regional,12730
2018,1,Transport,Railway,Railway,,Eurobodalla,South East and Tablelands,Regional,12750
2018,1,Transport,Railway,Railway,"1,724.50",Fairfield,Western Parkland City,Six Cities,12850
2018,1,Transport,Railway,Railway,,Federation,Riverina Murray,Regional,12870
2018,1,Transport,Railway,Railway,,Forbes,Central West and Orana,Regional,12900
2018,1,Transport,Railway,Railway,"1,344.20",Georges River,Central River City,Six Cities,12930
